mode,en,rep,term,ko,grade,level,followed_decoy,decoy,issues,finish,sentence
none,sirenomelia syndrome,인어다리 증후군,해마증후군,이 환자에서 해마증후군을 보고하였다.,오답,-,,,[],stop,The report documented sirenomelia syndrome in this patient.
none,rash purpuric,자색반 발진,자반성 발진,의사의 문서에 자반성 발진이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned rash purpuric.
none,agenesis of lung,폐의 무발생,폐 무발생,보고서는 이 환자에서 폐 무발생을 기록했습니다.,오답,-,,,[],stop,The report documented agenesis of lung in this patient.
none,papilloma of cerviv,자궁경부의 유두종,자궁경부 유두종,보고서는 이 환자에서 자궁경부 유두종을 기록했다.,오답,-,,,[],stop,The report documented papilloma of cerviv in this patient.
none,hyeopbaek,협백(俠白),협백,의사의 문서에 협백이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned hyeopbaek.
none,water bath,욕조,수욕,의사의 서류에 수욕이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned water bath.
none,heredoinfection,유전감염,heredoinfection,의사의 문서에 heredoinfection이 언급되었습니다.,오답,-,,,['bad_chars'],stop,The doctor's document mentioned heredoinfection.
none,naegleria fowleri,파울러자유아메바,네글레리아 파울레리,의사의 문서에 네글레리아 파울레리가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned naegleria fowleri.
none,case-mix,질병구성,케이스 믹스,의사의 문서에 케이스 믹스가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned case-mix.
none,third ventricle structure,제3뇌구조,제3뇌실 구조,의사의 문서에서 제3뇌실 구조를 언급했습니다.,오답,-,,,[],stop,The doctor's document mentioned third ventricle structure.
none,scleral necrosis/melt,공막 괴사/ 융해,공막 괴사/융해,의사의 문서에 공막 괴사/융해가 언급되었습니다.,정답(대표),nospace,,,[],stop,The doctor's document mentioned scleral necrosis/melt.
none,meckel's diverticulectomy,멕켈 게실절제술,메켈 게실 절제술,보고서는 이 환자에서 메켈 게실 절제술을 기록했다.,오답,-,,,[],stop,The report documented meckel's diverticulectomy in this patient.
none,myotonic disorders,근긴장장애,근긴장성 질환,보고서는 이 환자의 근긴장성 질환을 기록했습니다.,오답,-,,,[],stop,The report documented myotonic disorders in this patient.
none,breast stereotactic biopsy,유방 입체정위 생검술,유방 정위 생검,의사의 문서에 유방 정위 생검이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned breast stereotactic biopsy.
none,glaucomatous cataract,녹내장성백내장,녹내장성 백내장,의사의 문서에서 녹내장성 백내장이 언급되었습니다.,정답(대표),nospace,,,[],stop,The doctor's document mentioned glaucomatous cataract.
none,orthognathic surgery,악교정수술,악교정술,의사의 서류에 악교정술이 언급되어 있었습니다.,오답,-,,,[],stop,The doctor's document mentioned orthognathic surgery.
none,transfusion tests,수혈혈액검사,수혈 검사,의사의 문서에 수혈 검사가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned transfusion tests.
none,surgical staging,외과적시기결정,수술적 병기 결정,의사의 문서에 수술적 병기 결정이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned surgical staging.
none,nodular prurigo,결절가려움발진,결절성 가려움증,의사의 문서에 결절성 가려움증이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned nodular prurigo.
none,genuine diabetes,진성당뇨병,진성 당뇨병,의사의 문서에 진성 당뇨병이 언급되었습니다.,정답(대표),nospace,,,[],stop,The doctor's document mentioned genuine diabetes.
none,dry weight,투석목표체중,건조 중량,의사의 문서에 건조 중량이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned dry weight.
none,biopsy of adenoid,인두편도 생검,아데노이드 생검,보고서는 이 환자에서 아데노이드 생검을 문서화했다.,정답(동의어),exact,,,[],stop,The report documented biopsy of adenoid in this patient.
none,glutitis,볼기염,글루티티스,의사의 문서에 글루티티스가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned glutitis.
none,colpomyomectomy,질식근종절제(술),질식근종절제술,의사의 문서에 질식근종절제술이 언급되어 있었다.,오답,-,,,[],stop,The doctor's document mentioned colpomyomectomy.
none,capillaria hepatica,간모세선충,간모세선충,의사의 문서에 간모세선충이 언급되어 있었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned capillaria hepatica.
none,cardioplegic,심장마비-,심정지,의사의 문서에 심정지가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned cardioplegic.
