mode,para_id,en,rep,matched,injected,term_hit,hit_form,decoy,followed_decoy
none,P001,autoeroticism,자기성애,True,True,False,,,
none,P001,combustion,화상,True,True,False,,,
none,P001,digit preference,끝수선호,True,True,False,,,
none,P002,fusiform layer,방추세포층,True,True,False,,,
none,P002,imitative attitude,모방태도,True,True,True,모방태도,,
none,P002,hyeopgye,협계(俠谿),True,True,False,,,
none,P003,secretory cyst,분비체류성낭,True,True,False,,,
none,P003,ricinism,리신증,True,True,True,리신중독증,,
none,P003,glaucomatous cataract,녹내장성백내장,True,True,True,녹내장성백내장,,
none,P004,nodular sclerosis,결절경화,True,True,False,,,
none,P004,cross-face,교차얼굴,True,True,False,,,
none,P004,blind fistula,막힌샛길,True,True,False,,,
none,P005,varicose vein stripping,정맥류 제거,True,True,False,,,
none,P005,rotalix tube,회전양극관,True,True,True,회전양극관,,
none,P005,smith's fracture,스미드골절,True,True,True,스미스 골절,,
none,P006,framework try-in,금속구조물 시적,True,True,False,,,
none,P006,parrot fever,앵무새열,True,True,False,,,
none,P006,frontal suture,이마봉합선,True,True,False,,,
none,P007,binder,결합체,True,True,False,,,
none,P007,water bath,욕조,True,True,True,욕조,,
none,P007,torr,토르,True,True,False,,,
none,P008,cercosporomycosis,세르코스포라진균증,True,True,False,,,
none,P008,lipoid dermatoarthritis,리포이드피부관절염,True,True,False,,,
none,P008,fisher syndrome,피셔증후군,True,True,True,피셔증후군,,
none,P009,benign familial hematuria,양성 가족성 혈뇨,True,True,True,양성 가족성 혈뇨,,
none,P009,marsupialization of cyst,낭종 주머니형성,True,True,False,,,
none,P009,lumbosacral enlargement,요천부팽대,True,True,False,,,
none,P010,retrocedent gout,내공성통풍,True,True,False,,,
none,P010,hemianopsia,편측시야결손,True,True,False,,,
none,P010,enteral feeding,위장관영양,True,True,False,,,
none,P011,ocular fundus,안저,True,True,True,안저,,
none,P011,condensed chromatin,농축염색질,True,True,False,,,
none,P011,hemacytometry,혈구계수,True,True,True,혈구계수,,
none,P012,cimex lectularius,빈대,True,True,False,,,
none,P012,vaginography,질조영(술),True,True,False,,,
none,P012,ear drum,고막,True,True,True,고막,,
none,P013,dilation of intestine,창자 확장,True,True,False,,,
none,P013,myoclonia fibrillaris multiplex,다발잔떨림근대성대발작,True,True,False,,,
none,P013,gitelman syndrome,지텔만 증후군,True,True,True,지텔만 증후군,,
none,P014,source qi,원기,True,True,True,원기,,
none,P014,hyperlipidaemia,고지혈증,True,True,False,,,
none,P014,ladder splint,사다리형덧대,True,True,False,,,
none,P015,dermatopathic lymphadenopathy,피부병림프절병(증),True,True,False,,,
none,P015,oil red,오일레드,True,True,False,,,
none,P015,defervescence,해열,True,True,True,해열,,
none,P016,intracranial space-occupying lesion,두개내공간점유병변,True,True,False,,,
none,P016,picture frustration test,그림좌절검사,True,True,True,그림좌절검사,,
none,P016,pyroglyphidae,집먼지진드기(과),True,True,False,,,
none,P017,dorsal vein arterialization,배측 정맥 동맥혈화,True,True,False,,,
none,P017,macrocephalus,큰머리증,True,True,True,대두증,,
none,P017,aqueous fluid,방수,True,True,True,방수,,
none,P018,colon cecum mass,막창자 종괴,True,True,False,,,
none,P018,cyematocardia,태아심음,True,True,False,,,
none,P018,dyskeratosis congenita,선천 이상각화증,True,True,False,,,
none,P019,supernumeric impacted tooth,과잉매복치,True,True,True,과잉매복치,,
none,P019,biopsy of cul-de-sac,막힌주머니 생검,True,True,False,,,
none,P019,gantry,갠트리,True,True,False,,,
none,P020,onychopathy,손발톱병(증),True,True,False,,,
none,P020,intermetatarsal joint structure,발허리간관절조직,True,True,False,,,
