arm,en,pred,rep,grade,level,kcd,words,issues,finish
1c,sirenomelia syndrome,인어증후군,인어다리 증후군,오답,-,Q87.2,2,[],stop
1c,rash purpuric,자반성 발진,자색반 발진,오답,-,,2,[],stop
1c,agenesis of lung,폐 무발생증,폐의 무발생,오답,-,Q33.3,3,[],stop
1c,papilloma of cerviv,자궁경부 유두종,자궁경부의 유두종,오답,-,D26.0,3,[],stop
1c,hyeopbaek,협백,협백(俠白),오답,-,,1,[],stop
1c,water bath,수조,욕조,정답(동의어),exact,,2,[],stop
1c,heredoinfection,선천성 감염,유전감염,오답,-,,1,[],stop
1c,naegleria fowleri,파울러네글레리아,파울러자유아메바,오답,-,,2,[],stop
1c,case-mix,환자군 구성,질병구성,오답,-,,1,[],stop
1c,third ventricle structure,제3뇌실 구조물,제3뇌구조,오답,-,,3,[],stop
1c,scleral necrosis/melt,공막괴사/용해,공막 괴사/ 융해,오답,-,,2,[],stop
1c,meckel's diverticulectomy,메켈 게실절제술,멕켈 게실절제술,오답,-,,2,[],stop
1c,myotonic disorders,근긴장성 질환,근긴장장애,오답,-,G71.1,2,[],stop
1c,breast stereotactic biopsy,유방 정위 생검,유방 입체정위 생검술,오답,-,,3,[],stop
1c,glaucomatous cataract,녹내장성 백내장,녹내장성백내장,정답(대표),nospace,,2,[],stop
1c,orthognathic surgery,악교정술,악교정수술,오답,-,,2,[],stop
1c,transfusion tests,수혈검사,수혈혈액검사,오답,-,,2,[],stop
1c,surgical staging,수술적 병기 결정,외과적시기결정,오답,-,,2,[],stop
1c,nodular prurigo,결절성 양진증,결절가려움발진,오답,-,,2,[],stop
1c,genuine diabetes,진성 당뇨병,진성당뇨병,정답(대표),nospace,,2,[],stop
1c,dry weight,건조체중,투석목표체중,오답,-,,2,[],stop
1c,biopsy of adenoid,아데노이드 생검,인두편도 생검,정답(동의어),exact,,3,[],stop
1c,glutitis,둔근염,볼기염,오답,-,,1,[],stop
1c,colpomyomectomy,질근종절제술,질식근종절제(술),오답,-,,1,[],stop
1c,capillaria hepatica,간모세선충,간모세선충,정답(대표),exact,,2,[],stop
1c,cardioplegic,심정지성,심장마비-,오답,-,,1,[],stop
1c,upper extremity,상지,위팔,정답(동의어),exact,,2,[],stop
1c,cryptococcal meningocerebritis,크립토코커스 뇌막뇌염,크립토콕쿠스수막대뇌염,오답,-,B45.1,2,[],stop
1c,blood fluke,주혈흡충,주혈흡충,정답(대표),exact,,2,[],stop
1c,cheilosis,구각염,구순증,오답,-,K13.0,1,[],stop
1c,sideroblastic anaemia,철아구성빈혈,철적혈모구빈혈,오답,-,D64.0-D64.3,2,[],stop
1c,auriculotemporal nerve,귀관자신경,귓바퀴관자신경,오답,-,,2,[],stop
1c,epidermolysis bullosa dystrophica,영양성 수포성 표피박리증,디스트로피성 수포성 표피박리증,오답,-,Q81.2,3,[],stop
1c,negative pressure,음압,음압,정답(대표),exact,,2,[],stop
1c,deshielded proton,비차폐 양성자,미차폐양성자,오답,-,,2,[],stop
1c,hippocampal sclerosis,해마 경화,해마경화(증),오답,-,G37.9,2,[],stop
1c,laryngotracheal stenosis,후두기관협착증,후두기관협착(증),오답,-,J39.8,2,[],stop
1c,hemodynamometry,혈압측정법,혈압측정(법),오답,-,,1,[],stop
