mode,para_id,en,rep,span,span_why,aligned_grade,aligned_level,aligned_hit,contains_hit,decoy,followed_decoy
none,P001,hammerhead ribozyme,망치머리형리보자임,해머헤드 리보자임,ok,오답,-,False,False,,
none,P001,case-mix,질병구성,케이스믹스,ok,오답,-,False,False,,
none,P001,psgn,연쇄구균감염후 사구체신염,PSGN,ok,오답,-,False,False,,
none,P002,cheilosis,구순증,구순염,ok,오답,-,False,False,,
none,P002,hippocampal sclerosis,해마경화(증),해마 경화증,ok,정답(대표),partial,True,False,,
none,P002,surgical staging,외과적시기결정,수술적 병기 설정,ok,오답,-,False,False,,
none,P003,bidiscoidal placenta,두원반태반,이엽 태반,ok,오답,-,False,False,,
none,P003,reciprocal shaker,왕복진탕기,왕복식 진탕기,ok,오답,-,False,False,,
none,P003,high quality-hcv ab,정밀면역검사-C형간염항체,고품질 HCV 항체,ok,오답,-,False,False,,
none,P004,orthognathic surgery,악교정수술,악교정수술,ok,정답(대표),exact,True,True,,
none,P004,meckel's diverticulectomy,멕켈 게실절제술,메켈 게실 절제술,ok,오답,-,False,False,,
none,P004,kub left lateral,"콩팥요관방광촬영, 왼쪽측방향",좌측면 KUB,ok,오답,-,False,False,,
none,P005,bacteriostasis,정균작용,정균 작용,ok,정답(대표),variant,True,True,,
none,P005,gastroenteritis paratyphosa,파라티푸스위창자염,파라티푸스성 위장염,ok,오답,-,False,False,,
none,P005,clean bench,무균실험대,클린 벤치,ok,오답,-,False,False,,
none,P006,mysophilia,불결기호증,mysophilia(오열애호증),ok,오답,-,False,False,,
none,P006,bilateral palatine tonsils,양측 목구멍 편도,양측 구개편도,ok,오답,-,False,False,,
none,P006,cryptococcal meningocerebritis,크립토콕쿠스수막대뇌염,크립토코커스 뇌수막뇌염,ok,오답,-,False,False,,
none,P007,sao paulo fever,상파울로열,상파울루 열,ok,오답,-,False,False,,
none,P007,meningoencephalocele,수막뇌류,뇌막뇌탈출증,ok,오답,-,False,False,,
none,P007,involuntary,불수의-,불수의적,ok,정답(대표),partial,True,False,,
none,P008,third ventricle structure,제3뇌구조,제 3 뇌실 구조,ok_nospace,오답,-,False,False,,
none,P008,suprameatal foveola,바깥귀길위오목,상이와와,ok,오답,-,False,False,,
none,P008,auriculotemporal nerve,귓바퀴관자신경,귓바퀴관자신경,ok,정답(대표),exact,True,True,,
none,P009,colpomyomectomy,질식근종절제(술),질식 자궁근종 절제술,ok,오답,-,False,False,,
none,P009,hapgok,합곡(合谷),합곡,ok,정답(대표),variant,True,False,,
none,P009,altered uterine contractions,자궁수축 변화,변형된 자궁 수축,ok,오답,-,False,False,,
none,P010,sirenomelia syndrome,인어다리 증후군,사이레노멜리아 증후군,ok,오답,-,False,False,,
none,P010,upper extremity,위팔,상지,ok,정답(동의어),exact,True,True,,
none,P010,proctoscope,직장경,소아 직장경,ok,정답(대표),partial,True,True,,
none,P011,heredoinfection,유전감염,유전-감염,ok,오답,-,False,False,,
none,P011,sideroblastic anaemia,철적혈모구빈혈,철아구성 빈혈,ok,오답,-,False,False,,
none,P011,rash purpuric,자색반 발진,자반성 발진,ok,오답,-,False,False,,
none,P012,airborne infection,공기매개감염,공기 감염,ok,오답,-,False,False,,
none,P012,epidermolysis bullosa dystrophica,디스트로피성 수포성 표피박리증,영양불량형 수포성 표피박리증,ok,오답,-,False,False,,
none,P012,glutitis,볼기염,둔근염,ok,오답,-,False,False,,
none,P013,agenesis of lung,폐의 무발생,폐 무발생,ok,오답,-,False,False,,
none,P013,blood donation,헌혈,헌혈,ok,정답(대표),exact,True,True,,
none,P013,implosion,홍수(노출)요법,함몰감,ok,오답,-,False,False,,
none,P014,oncotaxonomy,종양분류법,종양 분류,ok,오답,-,False,False,,
none,P014,topalgia,국소통증,국소 통증,ok,정답(대표),variant,True,True,,
none,P014,negative pressure,음압,음압,ok,정답(대표),exact,True,True,,
none,P015,onychocryptosis,감입발톱,감입족갑,ok,오답,-,False,False,,
none,P015,foraminal,그물막구멍,추간공,ok,오답,-,False,False,,
none,P015,rotalix tube,회전양극관,rotalix 튜브,ok,오답,-,False,False,,
none,P016,superexcitation,과도흥분,과도흥분,ok,정답(대표),exact,True,True,,
none,P016,intermedia thalassaemia,중간형 지중해빈혈,인터미디아 지중해빈혈,ok,오답,-,False,True,,
none,P016,endaural,귀속-,이도,ok,오답,-,False,False,,
none,P017,multicystic renal dysplasia,다낭성 신장의 형성이상,다낭성 신 이형성,ok,오답,-,False,False,,
none,P017,cardioplegic,심장마비-,심정지,ok,오답,-,False,False,,
none,P017,neurocanal,신경관,신경관,ok,정답(대표),exact,True,True,,
none,P018,epiplocele,대망탈장,장망 탈출증,ok,오답,-,False,False,,
none,P018,naegleria fowleri,파울러자유아메바,파울러리 네글레리아(Naegleria fowleri),ok,오답,-,False,False,,
none,P018,diabetic coma,당뇨 혼수,당뇨병성 혼수,ok,오답,-,False,False,,
none,P019,retaining harness,장치유지,보조 하네스,ok,오답,-,False,False,,
none,P019,hemodynamometry,혈압측정(법),혈류역학검사,ok,오답,-,False,False,,
none,P019,insular sclerosis,섬경화증,섬엽 경화,ok,오답,-,False,False,,
none,P020,dental granuloma,뿌리끝육아종,치아육아종,ok,오답,-,False,False,,
none,P020,exteroceptive stimulus,외수용자극,외부 자극,ok,오답,-,False,False,,
none,P020,deshielded proton,미차폐양성자,차폐를 제거한 양성자선,ok,오답,-,False,False,,
none,P021,school childhood,학령기,학령기,ok,정답(대표),exact,True,True,,
none,P021,dry weight,투석목표체중,건체중,ok,오답,-,False,False,,
none,P021,myotonic disorders,근긴장장애,강근성 질환,ok,오답,-,False,False,,
none,P022,plantar flexion,발바닥쪽 굽힘,저측 굴곡,ok,오답,-,False,False,,
none,P022,absence of muscle,근육의 결여,근육 부피가 현저히 결손되어 있음,ok,오답,-,False,False,,
none,P022,entire trapezius muscle,온등세모근,전체 승모근,ok,오답,-,False,False,,
none,P023,urarthritis,통풍관절염,통풍성 관절염,ok,오답,-,False,False,,
none,P023,basal seat,의치지지조직,기저 좌석,ok,오답,-,False,False,,
none,P023,orofaciodigital syndrome,구안지 증후군,구강안면지증후군,ok,오답,-,False,False,,
none,P024,endocrinologist,내분비전문의,내분비내과 전문의,ok,오답,-,False,False,,
none,P024,anisometropic amblyopia,굴절부등약시,부동시 약시,ok,오답,-,False,False,,
none,P025,paraduodenal fold,샘창자옆주름,십이지장주위 주름,ok,오답,-,False,False,,
none,P025,laryngotracheal stenosis,후두기관협착(증),후두기관 협착증,ok,정답(대표),partial,True,False,,
none,P025,neuropsychiatry,신경정신과학,신경정신과,ok,오답,-,False,False,,
none,P026,normetanephrine,노르메타네프린,노르메타네프린,ok,정답(대표),exact,True,True,,
none,P026,nodular prurigo,결절가려움발진,결절성 가려움증,ok,오답,-,False,False,,
none,P027,inertia,무기력,무동증,ok,오답,-,False,False,,
none,P027,epididymal duct,부고환관,부고환관,ok,정답(대표),exact,True,True,,
none,P028,glaucomatous cataract,녹내장성백내장,녹내장성 백내장,ok,정답(대표),variant,True,True,,
none,P028,positioned flap,판막이동수술,배치된 조직판,ok,오답,-,False,False,,
none,P028,transfusion tests,수혈혈액검사,수혈 검사,ok,오답,-,False,False,,
none,P029,blood fluke,주혈흡충,혈흡충,ok,오답,-,False,False,,
none,P029,breast stereotactic biopsy,유방 입체정위 생검술,유방 정위생검,ok,오답,-,False,False,,
none,P029,hyeopbaek,협백(俠白),협백,ok,정답(대표),variant,True,False,,
